group,function,value,sample_time_nanos,iteration_count
[a16f139] Louds(N)::index_to_node_num() 10000 times,,2048,63027806.0,46
[a16f139] Louds(N)::index_to_node_num() 10000 times,,2048,125011514.0,92
[a16f139] Louds(N)::index_to_node_num() 10000 times,,2048,187493255.0,138
[a16f139] Louds(N)::index_to_node_num() 10000 times,,2048,250180092.0,184
[a16f139] Louds(N)::index_to_node_num() 10000 times,,2048,313589213.0,230
[a16f139] Louds(N)::index_to_node_num() 10000 times,,2048,376750917.0,276
[a16f139] Louds(N)::index_to_node_num() 10000 times,,2048,439102685.0,322
[a16f139] Louds(N)::index_to_node_num() 10000 times,,2048,502798104.0,368
[a16f139] Louds(N)::index_to_node_num() 10000 times,,2048,563503690.0,414
[a16f139] Louds(N)::index_to_node_num() 10000 times,,2048,625838827.0,460
