group,function,value,sample_time_nanos,iteration_count
[a16f139] Louds(N)::index_to_node_num() 10000 times,,8192,23227059.0,17
[a16f139] Louds(N)::index_to_node_num() 10000 times,,8192,46345399.0,34
[a16f139] Louds(N)::index_to_node_num() 10000 times,,8192,69608550.0,51
[a16f139] Louds(N)::index_to_node_num() 10000 times,,8192,92925867.0,68
[a16f139] Louds(N)::index_to_node_num() 10000 times,,8192,115864843.0,85
[a16f139] Louds(N)::index_to_node_num() 10000 times,,8192,139117313.0,102
[a16f139] Louds(N)::index_to_node_num() 10000 times,,8192,164871100.0,119
[a16f139] Louds(N)::index_to_node_num() 10000 times,,8192,186295828.0,136
[a16f139] Louds(N)::index_to_node_num() 10000 times,,8192,208737066.0,153
[a16f139] Louds(N)::index_to_node_num() 10000 times,,8192,231529405.0,170
